Price,Close,High,Low,Open,Volume
Ticker,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS
Date,,,,,
2019-03-15,57091.51953125,57478.50845455177,56399.299907879235,56685.701441385536,8692
2019-03-18,56917.3515625,57476.52827687335,56729.30764304525,57476.52827687335,5722
2019-03-19,56927.7578125,57170.25689399045,56507.32232501512,57170.25689399045,2978
2019-03-20,56464.3125,56883.904069721604,56289.298800700126,56883.904069721604,4821
2019-03-22,56039.3125,56783.80778965564,55670.45983421246,56487.496186850934,5278
2019-03-25,55502.6796875,55813.60865974779,55392.577075091234,55803.698572982925,3193
2019-03-26,55675.0234375,55891.90726943,55546.045186112366,55891.90726943,5182
2019-03-27,56076.375,56373.53051036609,55694.68954351013,55843.34085012093,7145
2019-03-28,55790.7734375,56338.75099248,55595.64534851464,56229.84067117869,5142
2019-04-01,59622.90234375,60144.26971580536,57478.50654715969,57627.15785719545,15675
2019-04-02,59847.1171875,61129.38182051513,59658.724881574,59708.27531752216,13292
2019-04-03,59500.3671875,60283.06673048676,59064.125877642786,59936.21364227912,7111
2019-04-04,59463.6484375,59954.94105264662,59212.82643159673,59720.17261516095,6488
2019-04-05,59717.40234375,59856.937170187,59362.77213387161,59463.653742331815,4012
2019-04-08,58391.5234375,60009.542616200255,58046.404647393785,60009.542616200255,4676
2019-04-09,57122.93359375,58816.370143913584,56983.00393049757,58666.72782054827,8355
2019-04-10,56974.8203125,57924.45433067571,56784.79440800202,57280.29872220797,7299
2019-04-11,56952.18359375,57469.59083228306,56788.81811713555,57082.10639477685,3874
2019-04-12,57989.62890625,58072.13039698447,56983.011618399745,56983.011618399745,4869
2019-04-15,57625.07421875,58513.86193491852,57506.45124956722,58469.514294838955,4502
2019-04-16,57534.1171875,58013.66487776303,57429.07023708929,57745.10144793943,3320
2019-04-18,57292.3984375,57875.01483638526,57008.8731411886,57679.685452552694,4303
2019-04-22,56086.29296875,57227.88871041268,55877.43785361204,57131.66020262614,3745
2019-04-23,56055.8671875,56571.73759481631,55892.8965638546,56571.73759481631,3363
2019-04-24,55142.10546875,56289.29878252968,55055.49284970838,56091.09702625316,5419
2019-04-25,54922.59375,55687.70280828752,54802.782343923456,55545.04787693609,5110
2019-04-26,53920.8359375,55337.68036067699,53762.22421423317,55248.73732614745,11658
2019-04-30,52429.3203125,54098.92238029103,52027.96175042529,53920.83887401091,9371
2019-05-02,51953.48828125,53207.26149305084,51122.477093073976,52132.01696483404,26249
2019-05-03,52633.37109375,52919.87330460512,52027.965327561215,52027.965327561215,12837
2019-05-06,53333.96875,53504.56938007761,52232.11397937342,52633.37192605065,11787
2019-05-07,52468.60546875,54158.623647338056,52192.76052898856,53514.46801383815,5985
2019-05-08,53631.1640625,54009.97715918067,52523.46402635919,52572.02345536469,12180
2019-05-09,53941.80078125,54188.31423560935,53514.47853429074,53910.8820789892,7410
2019-05-10,53462.30078125,54306.24156285257,53268.31080630553,54109.08113393541,5090
2019-05-13,52594.5625,53512.383598425644,52452.004359470826,53511.49323910555,2913
2019-05-14,52810.7109375,53017.97887599084,52374.814175893305,52662.206722932264,3264
2019-05-15,53077.73828125,53315.28231587053,52721.718370620125,53108.16147711856,7314
2019-05-16,53209.640625,53484.746222950846,52622.56854620511,53364.83415526552,5128
2019-05-17,53880.8515625,54257.73299164294,52921.50469836459,53266.62352054431,5326
2019-05-20,54268.93359375,54654.08763401385,53744.39183635969,54396.17758136205,9203
2019-05-21,54279.63671875,54654.13741014079,53925.74591428488,54505.486084455915,5597
2019-05-22,54628.2265625,54753.24078463653,54010.034447071484,54504.49755500859,4630
2019-05-23,54325.4140625,55593.80457413944,54009.97521285697,55023.777132907475,9450
2019-05-24,56496.71875,56948.12325835154,54505.48399414816,54703.685754126884,8395
2019-05-27,56351.38671875,57407.20984928371,56167.90298226167,56784.80597915564,6040
2019-05-28,55909.4453125,56735.25371858053,55749.25028866114,56635.11150525861,4862
2019-05-29,55413.9375,56378.48707847017,55200.17768953888,56091.09454458449,4761
2019-05-30,54689.0703125,55744.246969582,54530.26114668888,55744.246969582,4519
2019-05-31,54768.19921875,55176.096097578265,54034.752094414805,54801.89351625041,6656
2019-06-03,55498.921875,55924.5601690004,54891.97928913126,54905.11015617551,6624
2019-06-04,56866.5078125,57082.10253475396,55521.263793569284,55522.25480229384,11498
2019-06-06,55304.0390625,57221.88882179712,55011.49404215411,57082.05593318992,7419
2019-06-07,55097.609375,55933.82333849894,54616.474623409325,55446.93996189127,6447
2019-06-10,55094.6875,55496.491232384586,54604.5833375784,55445.949785012235,4118
2019-06-11,55691.765625,55793.688545995465,55001.97325273895,55298.284850774464,3948
2019-06-12,55208.60546875,55764.065908445824,54919.03346781217,55764.065908445824,4485
2019-06-13,54278.484375,55495.49332029989,53763.21020231771,55495.49332029989,6714
2019-06-14,54212.890625,54648.19125624374,53894.827113288986,54159.62390006124,3387
2019-06-17,54232.6640625,54802.792257809204,53661.993909197736,54455.93914225345,5755
2019-06-18,54128.70703125,54455.937385773774,53637.16663191708,54064.48888227276,4368
2019-06-19,54005.8125,54437.8922916984,53837.53844909925,54208.17570161118,6317
2019-06-20,54427.8828125,54505.47956945808,53628.33620342646,54109.025757018666,2777
2019-06-21,54428.58203125,54703.58698266085,53960.431006560815,54356.834540126,3125
2019-06-24,54169.23828125,54594.62884274231,54064.737169140535,54109.08481649472,5044
2019-06-25,55053.41796875,55832.10322884697,54008.94489012277,54555.041130560945,13088
2019-06-26,55590.390625,55843.34562002237,54752.24493630197,54802.786384866675,5529
2019-06-27,55993.93359375,56388.40545393242,55587.67027630891,55587.67027630891,7335
2019-06-28,56100.609375,56289.29588882407,55840.221831077666,56288.30488009364,6063
2019-07-01,56248.51953125,56634.11872000458,56004.87847731073,56328.938344280825,3293
2019-07-02,56158.08984375,56461.93080844269,55676.85443898237,56248.51939356235,3549
2019-07-03,56295.8828125,56562.169947059534,56106.20529579436,56190.19328310906,4265
2019-07-04,56031.08984375,56487.49970550844,55794.931680404705,56299.20803982341,3757
2019-07-05,55499.62109375,56204.182000659595,55248.74872757572,56031.64579474675,3876
2019-07-08,54283.7421875,55211.07861071176,53913.7010745274,55211.07861071176,6867
2019-07-09,54080.53515625,54406.37960285112,53494.65156579059,54399.44254169957,6050
2019-07-10,54700.61328125,54901.88872138564,54065.03209613883,54081.33341702991,5225
2019-07-11,55658.91796875,56020.19100344892,54204.217689883364,54506.47537591917,4222
2019-07-12,55570.51953125,55785.66908688305,55179.36913811188,55643.161249402045,3806
2019-07-15,55627.703125,55815.15476997539,55308.20342307327,55308.20342307327,4232
2019-07-16,56002.796875,56234.79358033123,55348.83172535165,55348.83172535165,3608
2019-07-17,55501.14453125,56001.90200487501,55315.6284756169,56001.90200487501,4807
2019-07-18,55039.05078125,55746.979584208704,54907.89306734292,55501.45711300529,3075
2019-07-19,53021.796875,55397.39207825517,52697.73699647425,55238.830669802206,8765
2019-07-22,53657.28125,53877.03745194663,52775.23309114034,53299.2793201095,3720
2019-07-23,53456.79296875,53945.95253216577,53118.06542656181,53860.33093037701,3685
2019-07-24,53542.8203125,54148.67122776376,53241.94848836576,53514.475911991634,5309
2019-07-25,53626.3515625,53993.72157372806,53316.26649780674,53539.2434487734,4636
2019-07-26,53849.92578125,54487.392122035795,53514.4693391886,53514.4693391886,2683
2019-07-29,53301.7109375,54168.545634672926,53028.88541733166,53851.42279158666,7924
2019-07-30,53294.96875,53801.62201800557,53190.41731767807,53504.56711906245,4885
2019-07-31,53067.27734375,53317.25928935958,52163.27997809425,53317.25928935958,5426
2019-08-01,52929.2421875,53447.8149435602,52675.683111997525,53022.88629635156,5918
2019-08-02,53439.0859375,53850.76972439695,51992.33750450148,52626.08408405578,5861
2019-08-05,52926.56640625,53221.29389130833,52527.87945645233,52824.4902089873,3159
2019-08-06,53440.67578125,53662.68821902543,52774.89034526395,52774.89034526395,2796
2019-08-07,53567.00390625,54014.89601924706,53270.88918702603,53568.49191991444,4650
2019-08-08,54262.4609375,54461.30841882342,53573.4601303927,53583.38022300086,2761
2019-08-09,56578.70703125,56972.68587055855,54114.11017080617,54411.71297651179,21845
2019-08-13,56283.37890625,56932.300185116765,55563.52896841357,56149.01203290139,7241
2019-08-14,56835.1875,57409.0648666722,55899.72275190687,56168.55726593999,8058
